keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
clomipramine,26.416666666666668,3.25,0.0,0.0,1.9166666666666667,1.75,0.0,1.3333333333333333,0.75,0.75,0.4166666666666667,1.1666666666666667,0.4166666666666667,1.0833333333333333,0.1666666666666666,0.5833333333333334,0.5,0.25
Cymbalta,8.333333333333334,1.4166666666666667,1.6666666666666667,1.8333333333333333,1.8333333333333333,1.9166666666666667,1.4166666666666667,1.1666666666666667,0.75,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.75,0.0,0.3333333333333333,0.5,0.1666666666666666
venlafaxin,8.083333333333334,22.08333333333333,15.166666666666666,4.25,9.916666666666666,5.0,2.583333333333333,2.9166666666666665,1.9166666666666667,2.25,2.0,2.9166666666666665,2.5,3.083333333333333,4.916666666666667,4.416666666666667,3.083333333333333,4.333333333333333
spravato,12.5,5.583333333333333,2.5,0.9166666666666666,2.9166666666666665,0.5833333333333334,0.6666666666666666,0.75,0.4166666666666667,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.0,0.4166666666666667,0.1666666666666666,0.5
zoloft,13.416666666666666,1.75,3.8333333333333335,6.583333333333333,3.25,3.9166666666666665,3.583333333333333,4.416666666666667,3.25,4.666666666666667,4.333333333333333,3.5,2.75,4.583333333333333,4.5,4.833333333333333,4.0,4.5
xanax,14.166666666666666,6.083333333333333,4.083333333333333,1.9166666666666667,1.75,3.0,3.333333333333333,3.0,3.4166666666666665,3.8333333333333335,3.1666666666666665,3.8333333333333335,4.083333333333333,13.583333333333334,13.75,8.75,6.666666666666667,6.25
Alprazolam,8.333333333333334,11.0,9.0,8.333333333333334,0.0,1.5833333333333333,2.083333333333333,1.75,2.5,2.9166666666666665,1.75,2.4166666666666665,2.25,6.166666666666667,1.5833333333333333,3.1666666666666665,2.083333333333333,2.4166666666666665
prodej automobilů,27.666666666666668,21.25,8.0,5.083333333333333,11.666666666666666,3.0,4.916666666666667,3.583333333333333,2.5,2.0,2.5,1.75,1.25,1.4166666666666667,1.25,1.8333333333333333,1.1666666666666667,1.4166666666666667
cena plynu,9.583333333333334,18.25,8.916666666666666,9.083333333333334,8.833333333333334,11.5,10.833333333333334,12.75,16.166666666666668,13.166666666666666,11.75,10.333333333333334,9.083333333333334,8.833333333333334,8.0,6.583333333333333,6.916666666666667,14.25
cena benzínu,5.166666666666667,8.5,8.5,4.166666666666667,4.25,4.083333333333333,5.416666666666667,8.0,9.666666666666666,7.083333333333333,7.0,8.166666666666666,5.083333333333333,4.583333333333333,5.666666666666667,5.416666666666667,8.0,6.5
cena nafty,3.583333333333333,1.1666666666666667,2.75,3.75,3.25,2.9166666666666665,3.0,4.083333333333333,5.333333333333333,3.6666666666666665,4.5,4.916666666666667,4.0,3.8333333333333335,4.833333333333333,3.75,5.166666666666667,4.416666666666667
leasing,59.583333333333336,48.5,34.583333333333336,32.25,26.75,24.666666666666668,23.5,18.58333333333333,16.5,15.5,18.0,23.5,24.5,31.5,28.916666666666668,22.58333333333333,18.916666666666668,18.25
tesla model s,15.916666666666666,9.25,2.4166666666666665,4.916666666666667,1.25,0.6666666666666666,1.0833333333333333,1.4166666666666667,2.25,4.0,7.833333333333333,10.416666666666666,9.416666666666666,8.833333333333334,6.416666666666667,5.333333333333333,4.083333333333333,4.833333333333333
