keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
doxepin,12.083333333333334,6.0,1.8333333333333333,2.083333333333333,0.25,1.9166666666666667,0.8333333333333334,1.25,0.1666666666666666,1.3333333333333333,0.0,0.3333333333333333,0.8333333333333334,0.5,0.5833333333333334,1.0833333333333333,0.4166666666666667,0.5
Anafranil,26.416666666666668,20.5,10.333333333333334,12.916666666666666,11.0,7.166666666666667,15.166666666666666,9.75,7.0,9.25,8.166666666666666,8.833333333333334,6.416666666666667,5.583333333333333,5.75,3.6666666666666665,4.083333333333333,2.9166666666666665
clomipramine,14.416666666666666,20.5,14.333333333333334,8.5,14.416666666666666,15.083333333333334,14.0,16.583333333333332,17.583333333333332,15.25,16.416666666666668,19.166666666666668,14.25,17.0,15.583333333333334,16.666666666666668,19.5,18.5
bupropion,18.0,9.083333333333334,3.8333333333333335,10.083333333333334,7.333333333333333,14.333333333333334,7.5,11.666666666666666,11.166666666666666,15.333333333333334,16.583333333333332,16.75,14.25,18.166666666666668,28.166666666666668,30.666666666666668,32.666666666666664,41.833333333333336
Celexa,19.83333333333333,25.5,10.583333333333334,7.666666666666667,2.1666666666666665,10.0,2.0,2.25,2.75,3.5,2.4166666666666665,2.833333333333333,1.8333333333333333,2.333333333333333,2.25,0.8333333333333334,2.1666666666666665,2.333333333333333
Cymbalta,12.916666666666666,6.75,24.416666666666668,21.58333333333333,22.666666666666668,33.083333333333336,33.0,30.0,32.333333333333336,33.5,35.5,28.25,16.0,13.666666666666666,10.0,9.083333333333334,17.083333333333332,6.416666666666667
duloxetine,19.5,12.25,9.833333333333334,11.083333333333334,3.6666666666666665,1.75,4.666666666666667,9.25,6.0,6.333333333333333,9.25,11.416666666666666,15.75,21.416666666666668,25.83333333333333,29.416666666666668,25.83333333333333,31.75
trazodon,11.333333333333334,9.75,5.5,0.75,3.583333333333333,2.9166666666666665,2.1666666666666665,3.083333333333333,3.5,5.333333333333333,6.583333333333333,9.166666666666666,8.75,9.083333333333334,7.583333333333333,11.583333333333334,11.916666666666666,13.916666666666666
venlafaxine,21.166666666666668,8.25,3.083333333333333,3.6666666666666665,4.25,18.75,28.5,31.58333333333333,36.91666666666666,41.75,44.66666666666666,42.333333333333336,40.41666666666666,43.16666666666666,42.25,41.833333333333336,41.75,42.16666666666666
Selegiline,25.83333333333333,7.25,4.833333333333333,0.8333333333333334,3.083333333333333,2.833333333333333,0.6666666666666666,3.0,2.333333333333333,2.75,1.8333333333333333,0.5,0.8333333333333334,2.4166666666666665,1.75,1.25,1.8333333333333333,1.5
escalatie,17.5,16.083333333333332,13.0,20.5,16.416666666666668,10.583333333333334,9.083333333333334,8.0,17.583333333333332,13.416666666666666,23.5,25.83333333333333,29.75,27.5,23.5,24.25,21.25,19.33333333333333
spravato,13.583333333333334,0.0,4.5,5.333333333333333,3.4166666666666665,1.0,6.083333333333333,1.25,1.0833333333333333,3.1666666666666665,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.5,0.0,2.5,1.6666666666666667,3.6666666666666665
perfenazine,14.416666666666666,8.333333333333334,9.916666666666666,4.333333333333333,7.25,16.5,4.333333333333333,3.333333333333333,4.0,2.833333333333333,5.666666666666667,1.5833333333333333,2.0,4.916666666666667,1.0,7.583333333333333,2.75,2.75
amitriptyline,17.333333333333332,12.666666666666666,27.0,22.166666666666668,23.33333333333333,32.333333333333336,35.5,47.91666666666666,51.0,50.16666666666666,56.66666666666666,60.16666666666666,51.583333333333336,59.91666666666666,64.0,71.16666666666667,69.83333333333333,78.75
elavil,8.333333333333334,1.3333333333333333,0.0,4.5,2.6666666666666665,4.5,0.0,0.8333333333333334,1.8333333333333333,2.0,1.4166666666666667,0.5833333333333334,1.1666666666666667,0.0,0.75,0.8333333333333334,0.6666666666666666,0.5
latuda,10.0,3.25,2.833333333333333,0.75,1.9166666666666667,2.083333333333333,0.75,0.9166666666666666,0.5833333333333334,1.25,0.5,0.1666666666666666,0.75,0.5833333333333334,1.4166666666666667,1.25,0.5833333333333334,0.25
lamictal,21.166666666666668,2.333333333333333,1.3333333333333333,5.166666666666667,5.166666666666667,2.6666666666666665,4.083333333333333,3.5,2.6666666666666665,3.1666666666666665,2.333333333333333,2.333333333333333,1.8333333333333333,2.75,2.4166666666666665,1.75,2.0,2.1666666666666665
lamotrigine,31.166666666666668,19.33333333333333,5.166666666666667,8.583333333333334,11.166666666666666,13.833333333333334,10.0,11.166666666666666,19.25,18.83333333333333,20.5,20.666666666666668,20.08333333333333,21.0,24.416666666666668,28.75,29.416666666666668,36.91666666666666
chlordiazepoxide,16.583333333333332,8.333333333333334,0.0,2.833333333333333,5.583333333333333,6.916666666666667,4.083333333333333,3.9166666666666665,3.8333333333333335,1.75,1.4166666666666667,2.083333333333333,3.083333333333333,1.0,0.5833333333333334,0.75,1.4166666666666667,2.0
nardil,15.833333333333334,11.583333333333334,6.583333333333333,1.3333333333333333,5.666666666666667,0.0,4.0,2.833333333333333,3.6666666666666665,3.75,3.083333333333333,4.0,2.1666666666666665,1.1666666666666667,1.5833333333333333,1.25,1.0,3.0
pamelor,9.083333333333334,3.333333333333333,2.1666666666666665,1.8333333333333333,1.0833333333333333,0.4166666666666667,0.4166666666666667,0.1666666666666666,0.4166666666666667,0.0,0.4166666666666667,0.25,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.1666666666666666,0.5,0.3333333333333333
parnate,39.41666666666666,9.0,13.5,11.333333333333334,4.25,9.666666666666666,12.083333333333334,10.583333333333334,10.166666666666666,10.833333333333334,12.083333333333334,15.583333333333334,11.0,3.583333333333333,2.75,2.5,2.6666666666666665,2.75
tranylcypromine,20.33333333333333,12.166666666666666,6.666666666666667,0.5833333333333334,2.833333333333333,1.75,2.5,2.1666666666666665,1.1666666666666667,1.25,0.5,3.1666666666666665,1.9166666666666667,1.4166666666666667,1.75,1.6666666666666667,1.4166666666666667,2.4166666666666665
paxil,20.416666666666668,5.916666666666667,3.1666666666666665,4.166666666666667,2.583333333333333,1.3333333333333333,1.3333333333333333,1.1666666666666667,1.9166666666666667,1.6666666666666667,0.9166666666666666,1.3333333333333333,0.9166666666666666,0.6666666666666666,0.75,0.5,0.4166666666666667,0.75
paroxetine,46.66666666666666,54.833333333333336,47.25,51.333333333333336,55.333333333333336,51.66666666666666,52.25,53.583333333333336,56.25,52.333333333333336,56.25,53.583333333333336,51.91666666666666,51.66666666666666,50.083333333333336,49.333333333333336,40.5,40.5
prozac,42.833333333333336,38.16666666666666,25.58333333333333,33.166666666666664,24.08333333333333,23.33333333333333,17.75,17.916666666666668,16.416666666666668,17.416666666666668,14.833333333333334,13.0,13.0,12.916666666666666,11.916666666666666,10.083333333333334,10.333333333333334,9.083333333333334
fluoxetine,30.33333333333333,30.5,23.166666666666668,23.83333333333333,20.33333333333333,27.08333333333333,28.5,25.166666666666668,30.416666666666668,34.916666666666664,35.416666666666664,38.5,38.91666666666666,42.583333333333336,45.66666666666666,46.333333333333336,48.083333333333336,48.41666666666666
seroquel XR,8.333333333333334,12.5,0.0,1.6666666666666667,9.083333333333334,11.5,8.166666666666666,6.416666666666667,8.666666666666666,6.916666666666667,8.166666666666666,7.666666666666667,1.5,3.6666666666666665,1.4166666666666667,1.3333333333333333,1.25,0.9166666666666666
quetiapine,5.166666666666667,7.666666666666667,5.75,4.583333333333333,5.416666666666667,2.25,4.166666666666667,4.75,11.416666666666666,20.58333333333333,28.666666666666668,35.416666666666664,37.5,42.0,60.333333333333336,62.91666666666666,74.83333333333333,80.41666666666667
sinequan,26.75,16.25,2.25,4.083333333333333,1.1666666666666667,6.166666666666667,4.083333333333333,5.0,1.5833333333333333,4.083333333333333,3.9166666666666665,2.083333333333333,1.6666666666666667,2.083333333333333,0.9166666666666666,1.5833333333333333,3.4166666666666665,0.4166666666666667
tofranil,18.08333333333333,5.666666666666667,3.083333333333333,1.5,1.4166666666666667,3.083333333333333,0.6666666666666666,1.75,0.6666666666666666,0.75,0.4166666666666667,0.8333333333333334,0.5,0.25,0.75,0.4166666666666667,0.6666666666666666,1.0
imipramine,7.083333333333333,28.5,5.666666666666667,1.75,11.083333333333334,4.833333333333333,7.333333333333333,8.0,5.666666666666667,6.833333333333333,6.5,6.333333333333333,4.75,4.166666666666667,6.25,6.0,4.833333333333333,4.0
vortioxetine,10.916666666666666,18.25,3.083333333333333,2.833333333333333,1.0,1.0833333333333333,1.25,3.25,0.75,0.5,1.4166666666666667,0.0,1.9166666666666667,2.5,1.5833333333333333,1.0833333333333333,2.333333333333333,3.75
wellbutrin,13.75,4.333333333333333,3.9166666666666665,2.833333333333333,7.166666666666667,5.5,8.833333333333334,10.833333333333334,11.083333333333334,14.25,14.75,15.5,14.5,14.916666666666666,15.083333333333334,13.583333333333334,11.416666666666666,10.666666666666666
zoloft,40.25,39.91666666666666,27.666666666666668,20.33333333333333,18.416666666666668,13.416666666666666,11.583333333333334,10.416666666666666,11.583333333333334,9.583333333333334,9.083333333333334,8.333333333333334,7.583333333333333,8.583333333333334,8.25,7.75,7.25,6.916666666666667
sertraline,6.25,3.6666666666666665,4.583333333333333,17.083333333333332,14.166666666666666,30.166666666666668,30.0,32.833333333333336,35.25,43.66666666666666,47.16666666666666,53.0,47.25,54.66666666666666,60.91666666666666,66.91666666666667,72.08333333333333,73.41666666666667
xanax,18.916666666666668,17.416666666666668,27.58333333333333,16.75,15.833333333333334,14.166666666666666,12.166666666666666,15.75,21.0,17.75,19.25,20.416666666666668,22.5,33.166666666666664,33.25,34.75,36.083333333333336,41.5
Alprazolam,18.08333333333333,13.416666666666666,37.833333333333336,31.5,25.58333333333333,24.5,23.25,22.83333333333333,31.08333333333333,30.08333333333333,30.416666666666668,31.75,31.0,30.5,37.5,35.333333333333336,31.58333333333333,33.75
autoverkoop,57.583333333333336,56.5,46.25,31.25,26.0,27.416666666666668,20.166666666666668,22.33333333333333,16.916666666666668,21.75,17.916666666666668,16.666666666666668,13.416666666666666,13.083333333333334,10.666666666666666,9.25,12.166666666666666,9.583333333333334
gasprijs,0.9166666666666666,0.5833333333333334,1.0,0.75,1.8333333333333333,2.25,1.25,1.0833333333333333,1.5833333333333333,1.0833333333333333,1.3333333333333333,1.0833333333333333,1.0833333333333333,0.9166666666666666,1.1666666666666667,1.25,1.4166666666666667,8.666666666666666
benzineprijs,3.5,4.666666666666667,3.4166666666666665,2.833333333333333,5.666666666666667,3.5,3.333333333333333,6.0,7.916666666666667,5.666666666666667,6.75,7.666666666666667,5.916666666666667,5.916666666666667,7.666666666666667,8.416666666666666,9.25,11.25
dieselprijs,6.333333333333333,5.916666666666667,3.1666666666666665,5.166666666666667,11.0,7.333333333333333,8.333333333333334,9.666666666666666,12.333333333333334,11.833333333333334,12.75,14.25,11.166666666666666,10.75,12.5,11.75,10.75,13.083333333333334
autofinanciering,13.75,11.333333333333334,22.916666666666668,17.083333333333332,22.75,32.916666666666664,28.0,17.0,20.83333333333333,19.416666666666668,19.25,17.166666666666668,18.33333333333333,17.833333333333332,14.333333333333334,12.0,9.25,10.083333333333334
leasing,55.66666666666666,35.083333333333336,36.66666666666666,44.083333333333336,43.0,44.083333333333336,48.75,33.083333333333336,29.416666666666668,30.5,28.33333333333333,35.083333333333336,33.416666666666664,37.583333333333336,36.333333333333336,39.5,32.75,31.916666666666668
